#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
4.358135813581358e+02	0.000000000000000e+00	9.141965839194501e+11	4.830917874396136e+14	1.730592826464951e+16	4.830917874396136e+14	4.840059840235330e+14
4.367836783678368e+02	0.000000000000000e+00	9.182710160177407e+11	4.830917874396136e+14	1.730597956272421e+16	4.830917874396136e+14	4.840100584556313e+14
4.377537753775377e+02	0.000000000000000e+00	9.223545074944576e+11	4.830917874396136e+14	1.730603086064685e+16	4.830917874396136e+14	4.840141419471080e+14
4.387238723872387e+02	0.000000000000000e+00	9.264470583496008e+11	4.830917874396136e+14	1.730608215841744e+16	4.830917874396136e+14	4.840182344979632e+14
4.396939693969397e+02	0.000000000000000e+00	9.305486685831703e+11	4.830917874396136e+14	1.730613345603598e+16	4.830917874396136e+14	4.840223361081968e+14
4.406640664066407e+02	0.000000000000000e+00	9.346593381951661e+11	4.830917874396136e+14	1.730618475350246e+16	4.830917874396136e+14	4.840264467778088e+14
4.416341634163416e+02	0.000000000000000e+00	9.387790671855878e+11	4.830917874396136e+14	1.730623605081689e+16	4.830917874396136e+14	4.840305665067991e+14
4.426042604260426e+02	0.000000000000000e+00	9.429078555544362e+11	4.830917874396136e+14	1.730628734797928e+16	4.830917874396136e+14	4.840346952951680e+14
4.435743574357435e+02	0.000000000000000e+00	9.470457033017103e+11	4.830917874396136e+14	1.730633864498961e+16	4.830917874396136e+14	4.840388331429152e+14
4.445444544454446e+02	0.000000000000000e+00	9.511926104274111e+11	4.830917874396136e+14	1.730638994184790e+16	4.830917874396136e+14	4.840429800500410e+14
4.455145514551455e+02	0.000000000000000e+00	9.553485769315381e+11	4.830917874396136e+14	1.730644123855414e+16	4.830917874396136e+14	4.840471360165451e+14
4.464846484648465e+02	0.000000000000000e+00	9.595136028140912e+11	4.830917874396136e+14	1.730649253510834e+16	4.830917874396136e+14	4.840513010424276e+14
